"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HeT-A{}4800",-0.118424739334273,2.04211597730458,-0.594968074235654,0.561135194255513,0.714746268571253,-6.74372867394357
"CG6962",-0.0545687259012351,3.07314747687077,-0.594903383309943,0.561150859806761,0.714746268571253,-6.98066306238873
"CG42263",-0.0838494021492569,3.62157020502344,-0.594697179849245,0.56128498888961,0.714857365090896,-7.07695220939399
"Dd",-0.0343185024434468,4.76909146388537,-0.594584882681081,0.561358042005745,0.714890662669637,-7.21298358625713
"Nrt",0.0900424278535095,3.3758153047322,0.593912985449498,0.561879602718228,0.715495082338386,-7.03343897391192
"CG32119",-0.0544929599897511,7.53613638680493,-0.593634604615284,0.561976433914004,0.715558597447524,-7.2716749014833
"CG15199",0.191180787894256,3.39438642315928,0.597097634720156,0.562141198386137,0.715708593433979,-7.02647230984351
"lncRNA:CR44645",0.105569492535679,1.64692585244143,0.59297210411023,0.562407770573137,0.715943701481924,-6.663583238053
"pico",0.0375153376640146,5.25953452806692,0.592953607316786,0.562419815888556,0.715943701481924,-7.24969205347381
"CG11635",-0.0389968257062611,6.96620711238615,-0.592598364964359,0.562651180375868,0.716178400478429,-7.28622893969101
"sol",0.043349445884552,5.21610473923054,0.592435304986292,0.562757396140557,0.716247962445094,-7.24679646653393
"CG15186",-0.0772329719139477,4.13527178903612,-0.592370172041773,0.562799826133858,0.716247962445094,-7.14286708867762
"Tusp",0.0507111074926209,3.78708834421883,0.592189579433457,0.562917479733834,0.716337875011993,-7.10292891899474
"CG14840",0.0588845395514914,4.13873350007983,0.59155433528391,0.563331436926513,0.716804800764804,-7.15071437460756
"Pgant5",-0.0400416973791678,5.63971804159056,-0.590915703429222,0.563747765473331,0.717274665704922,-7.27027142776502
"CG4465",-0.207258719391572,-0.584469102370486,-0.590724238857903,0.563872614534505,0.717355970073681,-6.06320169353656
"CR45498",-1.29294994180914,-1.51442195623547,-0.596160474232831,0.56390580849624,0.717355970073681,-5.90621558675354
"Hn",-0.0686311575265659,6.3862290202006,-0.59050519978666,0.564072243039274,0.717507802680789,-7.28961419856095
"Doc{}15",0.366478564896856,-1.35788843163821,0.59142893137381,0.564229114823484,0.71764744699632,-5.92504737881926
"Pgd",-0.0398863259612359,7.63361376410088,-0.589815502301322,0.564465379010592,0.717888039399267,-7.27168656165606
"MCPH1",-0.0484627362317925,8.73781557246655,-0.589136788085303,0.564908317535406,0.718391418494626,-7.23199140720626
"CG15706",0.0410292930362096,3.77365159130813,0.589032223547064,0.564976574285774,0.718418272183163,-7.10198960813963
"CanB2",0.0493221826577016,6.57602345085319,0.588810904429481,0.565121059578541,0.718542044716917,-7.29172261423201
"CG10444",-0.0494498532653254,4.66855806669456,-0.588565179821943,0.565281500713551,0.71867333320352,-7.20957213616987
"CG18853",-1.26943968064069,-1.40274981581029,-0.593831794778794,0.565350846859111,0.71867333320352,-5.8438666028747
"CG13585",-0.0535584340176586,7.45641032999407,-0.58837232817046,0.565407436447864,0.71867333320352,-7.27779403711752
"CG45086",0.931071702621125,3.47363183734343,0.594057120632726,0.565412943904869,0.71867333320352,-7.05173388859689
"Sf3a2",-0.0485601855491736,3.94638515406506,-0.588113273732511,0.56557662732859,0.718821432781895,-7.1244566076143
"CG7536",-0.0374303744532236,4.94793737606925,-0.587964710112423,0.565673667768862,0.718884814609528,-7.23076086624192
"CG6244",0.253518599314622,-1.2326044060474,0.587728814076211,0.56582777115881,0.719020698112254,-5.94969604045973
"CG10132",0.0719788733085904,3.99519547660494,0.58751116211155,0.565969976070522,0.719141440329727,-7.13338942849125
"mtgo",-0.041723044525724,6.71192979907323,-0.587214475425237,0.566163849635122,0.719202440286408,-7.2923477863518
"asRNA:CR43257",-0.17192108957921,-1.3631612692197,-0.587211322546166,0.566165910112215,0.719202440286408,-5.90230524538481
"CG9682",0.0564257419632437,4.56832106325559,0.587152526792832,0.566204335183919,0.719202440286408,-7.19641358844842
"lncRNA:CR46530",0.195220946706754,-1.49159840583574,0.58714883099701,0.566206750561439,0.719202440286408,-5.84989531421599
"Fancl",0.0614548287069119,3.23315368413165,0.586973364911067,0.566321432254314,0.719288159642949,-7.01804325578879
"Dronc",0.0485654899560359,3.94580109556658,0.586550194046591,0.566598060392241,0.719579536698146,-7.12606306441129
"asRNA:CR45044",-0.067361708238598,2.83641770786025,-0.586222032780355,0.56681262983622,0.719792057220565,-6.9372238008534
"lncRNA:CR44281",-0.144574006436504,-1.26035632542664,-0.586064837346393,0.566915427921868,0.719862616358046,-5.92538318588171
